Id;Answers;Questions;ZScore;InDegree;OutDegree;ZDegree;ExertiseRank
4196;1107;186;25,6129951790446;268;41;12,9135788145406;49,659197716218
177541;0;1;-1;0;1;-1;0,2775
18445;12;76;-6,82242292337953;2;16;-3,29983164553722;1,2194232097553
18970;46;19;3,34893783390863;12;9;0,654653670707977;3,40100755180071
14500;0;4;-2;0;1;-1;0,2775
216319;0;10;-3,16227766016838;0;5;-2,23606797749979;0,2775
54181;0;1;-1;0;1;-1;0,2775
303360;0;1;-1;0;2;-1,41421356237309;0,2775
150781;0;3;-1,73205080756888;0;3;-1,73205080756888;0,2775
373643;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
394973;0;4;-2;0;3;-1,73205080756888;0,2775
22509;0;1;-1;0;1;-1;0,2775
421859;0;5;-2,23606797749979;0;3;-1,73205080756888;0,2775
227097;168;86;5,1451376021329;33;15;2,59807621135332;5,35999539095597
446636;0;7;-2,64575131106459;0;5;-2,23606797749979;0,2775
521856;0;2;-1,41421356237309;0;1;-1;0,2775
463252;85;36;4,45454545454545;39;6;4,91934955049954;5,77189367357041
1203;0;1;-1;0;1;-1;0,2775
197589;0;8;-2,82842712474619;0;2;-1,41421356237309;0,2775
372989;0;1;-1;0;1;-1;0,2775
737298;0;3;-1,73205080756888;0;1;-1;0,2775
86978;285;157;6,08833912517752;95;18;7,2435506865537;16,0947268420332
185075;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
322716;0;1;-1;0;0;NaN;0,2775
894144;0;1;-1;0;1;-1;0,2775
644312;0;2;-1,41421356237309;0;1;-1;0,2775
910351;1;3;-1;1;2;-0,577350269189626;0,535673111331046
958887;1;1;0;1;1;0;1,1525919597553
736156;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
975494;0;1;-1;0;1;-1;0,2775
86275;2;3;-0,447213595499958;1;3;-1;1,1525919597553
1023749;0;1;-1;0;1;-1;0,2775
250263;0;2;-1,41421356237309;0;1;-1;0,2775
348591;1;4;-1,34164078649987;1;3;-1;0,31759875
81476;0;1;-1;0;3;-1,73205080756888;0,2775
108840;0;1;-1;0;0;NaN;0,2775
1115020;1;1;0;1;1;0;0,332564579315513
7129;0;1;-1;0;0;NaN;0,2775
847626;0;1;-1;0;2;-1,41421356237309;0,2775
111939;0;3;-1,73205080756888;0;1;-1;0,2775
908596;0;3;-1,73205080756888;0;2;-1,41421356237309;0,2775
538601;0;1;-1;0;1;-1;0,2775
325899;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
949275;3;11;-2,1380899352994;2;4;-0,816496580927726;1,2194232097553
507671;0;1;-1;0;2;-1,41421356237309;0,2775
1266331;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
1241175;0;2;-1,41421356237309;0;1;-1;0,2775
777651;2;3;-0,447213595499958;2;1;0,577350269189626;1,2194232097553
901647;0;1;-1;0;1;-1;0,2775
932850;0;9;-3;0;6;-2,44948974278318;0,2775
163582;0;4;-2;0;3;-1,73205080756888;0,2775
998541;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
764080;0;1;-1;0;1;-1;0,2775
85014;0;1;-1;0;2;-1,41421356237309;0,2775
330036;6;4;0,632455532033676;3;3;0;1,0120046567249
1421760;0;1;-1;0;1;-1;0,2775
1422023;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
460862;0;1;-1;0;1;-1;0,2775
1441243;0;1;-1;0;0;NaN;0,2775
562061;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
424139;3;2;0,447213595499958;2;3;-0,447213595499958;1,19654978087339
1490131;0;1;-1;0;2;-1,41421356237309;0,2775
510776;0;1;-1;0;4;-2;0,2775
284491;0;1;-1;0;2;-1,41421356237309;0,2775
1379175;0;1;-1;0;2;-1,41421356237309;0,2775
1529504;0;1;-1;0;2;-1,41421356237309;0,2775
372456;0;1;-1;0;3;-1,73205080756888;0,2775
1387563;0;1;-1;0;1;-1;0,2775
1530030;1;2;-0,577350269189626;1;1;0;1,1525919597553
129072;0;3;-1,73205080756888;0;3;-1,73205080756888;0,2775
911841;1;5;-1,63299316185545;1;3;-1;0,377746875
849616;0;1;-1;0;1;-1;0,2775
488603;0;2;-1,41421356237309;0;5;-2,23606797749979;0,2775
1606436;0;1;-1;0;3;-1,73205080756888;0,2775
1608945;0;1;-1;0;2;-1,41421356237309;0,2775
1292401;0;1;-1;0;2;-1,41421356237309;0,2775
7827;0;1;-1;0;2;-1,41421356237309;0,2775
78918;2;2;0;2;4;-0,816496580927726;1,27511814048672
1650314;0;2;-1,41421356237309;0;1;-1;0,2775
521337;0;2;-1,41421356237309;0;1;-1;0,2775
1662409;0;1;-1;0;1;-1;0,2775
1662852;0;5;-2,23606797749979;0;1;-1;0,2775
841437;1;3;-1;1;2;-0,577350269189626;0,535673111331046
1242554;0;1;-1;0;1;-1;0,2775
1682825;0;1;-1;0;0;NaN;0,2775
88556;2;1;0,577350269189626;2;3;-0,447213595499958;1,79861641216469
999962;0;1;-1;0;3;-1,73205080756888;0,2775
806435;2;4;-0,816496580927726;2;8;-1,89736659610103;1,35669123833905
